Date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2,z,total asset,z upper limit,z lower limit
2014-06-17,4.902500152587891,18551.060577392578,1127.2992782592773,19678.359855651855,0.006288858498239014,0.0,4.46999979019165,-19180.769099712372,40854.26057291031,21673.491473197937,-0.005904391949371091,0.0,0.5427403055495933,41351.85132884979,0.45594600925079265,-0.37031754716565835
2014-06-18,4.897500038146973,0.0,19659.439422607422,19659.439422607422,-0.0009614842488511188,-1.0,4.400000095367432,0.0,21973.86016368866,21973.86016368866,0.013858804930537705,1.0,0.3798442097584202,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-19,4.784999847412109,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.360000133514404,0.0,21973.86016368866,21973.86016368866,0.0,0.0,0.4301838972284407,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-20,4.732500076293945,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.099999904632568,0.0,21973.86016368866,21973.86016368866,0.0,0.0,-0.13048108317017312,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-23,4.677499771118164,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.010000228881836,0.0,21973.86016368866,21973.86016368866,0.0,0.0,-0.2763828078394854,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-24,4.605000019073486,0.0,19659.439422607422,19659.439422607422,0.0,0.0,3.940000057220459,0.0,21973.86016368866,21973.86016368866,0.0,0.0,-0.3509840803617607,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-25,4.652500152587891,0.0,19659.439422607422,19659.439422607422,0.0,0.0,3.9600000381469727,0.0,21973.86016368866,21973.86016368866,0.0,0.0,-0.3647081376886485,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-26,4.590000152587891,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.03000020980835,0.0,21973.86016368866,21973.86016368866,0.0,0.0,-0.11351428647777248,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-27,4.59499979019165,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.110000133514404,0.0,21973.86016368866,21973.86016368866,0.0,0.0,0.0735883388027742,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-06-30,4.635000228881836,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.190000057220459,0.0,21973.86016368866,21973.86016368866,0.0,0.0,0.21490657095367474,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-07-01,4.6875,0.0,19659.439422607422,19659.439422607422,0.0,0.0,4.21999979019165,0.0,21973.86016368866,21973.86016368866,0.0,0.0,0.21884726132509935,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-07-02,4.670000076293945,17671.28028869629,1988.1591339111328,19659.439422607422,0.0,1.0,4.340000152587891,-18622.94065475464,40596.8008184433,21973.86016368866,0.0,-1.0,0.5322039320253392,41633.29958629608,0.45594600925079265,-0.37031754716565835
2014-07-03,4.712500095367432,0.0,19820.259494781494,19820.259494781494,0.00818029795850328,-1.0,4.239999771118164,0.0,22402.961800575256,22402.961800575256,0.01952782231661221,1.0,0.23455540440440892,42223.22129535675,0.45594600925079265,-0.37031754716565835
2014-07-07,4.675000190734863,0.0,19820.259494781494,19820.259494781494,0.0,0.0,4.260000228881836,0.0,22402.961800575256,22402.961800575256,0.0,0.0,0.3320206753134689,42223.22129535675,0.45594600925079265,-0.37031754716565835
2014-07-08,4.637499809265137,0.0,19820.259494781494,19820.259494781494,0.0,0.0,4.21999979019165,0.0,22402.961800575256,22402.961800575256,0.0,0.0,0.2842522897274402,42223.22129535675,0.45594600925079265,-0.37031754716565835
2014-07-09,4.777500152587891,0.0,19820.259494781494,19820.259494781494,0.0,0.0,4.230000019073486,0.0,22402.961800575256,22402.961800575256,0.0,0.0,0.1253243654411106,42223.22129535675,0.45594600925079265,-0.37031754716565835
2014-07-10,4.752500057220459,0.0,19820.259494781494,19820.259494781494,0.0,0.0,4.289999961853027,0.0,22402.961800575256,22402.961800575256,0.0,0.0,0.3032588514837231,42223.22129535675,0.45594600925079265,-0.37031754716565835
2014-07-11,4.762499809265137,18021.299278259277,1798.9602165222168,19820.259494781494,0.0,1.0,4.369999885559082,-18751.66950893402,41154.63130950928,22402.961800575256,0.0,-1.0,0.48382084917431945,42223.22129535675,0.45594600925079265,-0.37031754716565835
2014-07-14,4.822500228881836,18248.340866088867,1798.9602165222168,20047.301082611084,0.011455025999501656,0.0,4.639999866485596,-19910.23942708969,41154.63130950928,21244.391882419586,-0.05171503341696193,0.0,1.058879015979114,41291.69296503067,0.45594600925079265,-0.37031754716565835
